GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US00968,00968,ZCTA5 00968,43362,5145
8600000US00969,00969,ZCTA5 00969,27852,1614
8600000US00971,00971,ZCTA5 00971,14020,1435
8600000US00976,00976,ZCTA5 00976,16207,898
8600000US00979,00979,ZCTA5 00979,28053,2554
8600000US00982,00982,ZCTA5 00982,13301,1091
8600000US00983,00983,ZCTA5 00983,13459,639
8600000US00985,00985,ZCTA5 00985,13108,832
8600000US00987,00987,ZCTA5 00987,15522,614
8600000US01001,01001,ZCTA5 01001,30430,1861
8600000US01002,01002,ZCTA5 01002,26072,1531
8600000US01003,01003,ZCTA5 01003,3829,221
8600000US01005,01005,ZCTA5 01005,32169,3765
8600000US01007,01007,ZCTA5 01007,36359,3115
8600000US01008,01008,ZCTA5 01008,34505,4143
8600000US01009,01009,ZCTA5 01009,26150,12089
8600000US01010,01010,ZCTA5 01010,38693,3929
8600000US01011,01011,ZCTA5 01011,29951,2657
8600000US01012,01012,ZCTA5 01012,34032,6966
8600000US01013,01013,ZCTA5 01013,21677,1050
8600000US01020,01020,ZCTA5 01020,29705,1884
8600000US01022,01022,ZCTA5 01022,26605,5698
8600000US01026,01026,ZCTA5 01026,28269,2961
8600000US01027,01027,ZCTA5 01027,33598,2979
8600000US01028,01028,ZCTA5 01028,39282,2050
8600000US01029,01029,ZCTA5 01029,32415,5820
8600000US01030,01030,ZCTA5 01030,32812,2047
8600000US01031,01031,ZCTA5 01031,26153,5788
8600000US01032,01032,ZCTA5 01032,36045,5787
8600000US01033,01033,ZCTA5 01033,39115,6257
8600000US01034,01034,ZCTA5 01034,32783,2951
8600000US01035,01035,ZCTA5 01035,40287,6479
8600000US01036,01036,ZCTA5 01036,38547,4039
8600000US01037,01037,ZCTA5 01037,33913,7908
8600000US01038,01038,ZCTA5 01038,35804,3190
8600000US01039,01039,ZCTA5 01039,43845,6616
8600000US01040,01040,ZCTA5 01040,21897,1112
8600000US01050,01050,ZCTA5 01050,29854,2545
8600000US01053,01053,ZCTA5 01053,30391,7319
8600000US01054,01054,ZCTA5 01054,45344,4343
8600000US01056,01056,ZCTA5 01056,31897,2303
8600000US01057,01057,ZCTA5 01057,33763,1767
8600000US01060,01060,ZCTA5 01060,35487,3181
8600000US01062,01062,ZCTA5 01062,39024,4218
8600000US01063,01063,ZCTA5 01063,3134,763
8600000US01068,01068,ZCTA5 01068,34288,2024
8600000US01069,01069,ZCTA5 01069,30199,2445
8600000US01070,01070,ZCTA5 01070,30773,3626
8600000US01071,01071,ZCTA5 01071,34924,2526
8600000US01072,01072,ZCTA5 01072,36704,3565
8600000US01073,01073,ZCTA5 01073,44278,6454
8600000US01074,01074,ZCTA5 01074,16890,3966
8600000US01075,01075,ZCTA5 01075,30822,1805
8600000US01077,01077,ZCTA5 01077,36861,3291
8600000US01079,01079,ZCTA5 01079,24201,8372
8600000US01080,01080,ZCTA5 01080,23489,4837
8600000US01081,01081,ZCTA5 01081,25679,3342
8600000US01082,01082,ZCTA5 01082,27773,2144
8600000US01083,01083,ZCTA5 01083,22559,4418
8600000US01084,01084,ZCTA5 01084,50727,22547
8600000US01085,01085,ZCTA5 01085,29597,1323
8600000US01086,01086,ZCTA5 01086,3293,1046
8600000US01088,01088,ZCTA5 01088,34560,8234
8600000US01089,01089,ZCTA5 01089,28438,1760
8600000US01092,01092,ZCTA5 01092,40211,16974
8600000US01093,01093,ZCTA5 01093,48793,8484
8600000US01094,01094,ZCTA5 01094,29174,7344
8600000US01095,01095,ZCTA5 01095,40989,3214
8600000US01096,01096,ZCTA5 01096,33768,3581
8600000US01097,01097,ZCTA5 01097,9374,5960
8600000US01098,01098,ZCTA5 01098,41124,3936
8600000US01103,01103,ZCTA5 01103,21928,4894
8600000US01104,01104,ZCTA5 01104,18983,1911
8600000US01105,01105,ZCTA5 01105,13855,2180
8600000US01106,01106,ZCTA5 01106,52705,4005
8600000US01107,01107,ZCTA5 01107,13711,1315
8600000US01108,01108,ZCTA5 01108,18466,1231
8600000US01109,01109,ZCTA5 01109,14977,744
8600000US01118,01118,ZCTA5 01118,27870,1561
8600000US01119,01119,ZCTA5 01119,22333,2074
8600000US01128,01128,ZCTA5 01128,33845,4441
8600000US01129,01129,ZCTA5 01129,27405,2221
8600000US01151,01151,ZCTA5 01151,16820,1376
8600000US01199,01199,ZCTA5 01199,-,**
8600000US01201,01201,ZCTA5 01201,28433,1295
8600000US01220,01220,ZCTA5 01220,27309,1899
8600000US01222,01222,ZCTA5 01222,41175,10696
8600000US01223,01223,ZCTA5 01223,39324,3396
8600000US01224,01224,ZCTA5 01224,23039,8749
8600000US01225,01225,ZCTA5 01225,32108,4540
8600000US01226,01226,ZCTA5 01226,32405,3653
8600000US01229,01229,ZCTA5 01229,19587,3776
8600000US01230,01230,ZCTA5 01230,35371,2828
8600000US01235,01235,ZCTA5 01235,32438,2917
8600000US01236,01236,ZCTA5 01236,32117,8578
8600000US01237,01237,ZCTA5 01237,31664,2641
8600000US01238,01238,ZCTA5 01238,35946,4535
8600000US01240,01240,ZCTA5 01240,48764,7534
8600000US01242,01242,ZCTA5 01242,25313,6204
8600000US01243,01243,ZCTA5 01243,46979,12576
8600000US01244,01244,ZCTA5 01244,51809,16404
8600000US01245,01245,ZCTA5 01245,42633,6631
8600000US01247,01247,ZCTA5 01247,23957,1799
8600000US01253,01253,ZCTA5 01253,39333,4983
8600000US01254,01254,ZCTA5 01254,67264,12985
8600000US01255,01255,ZCTA5 01255,36881,4822
8600000US01256,01256,ZCTA5 01256,27351,3764
8600000US01257,01257,ZCTA5 01257,34538,6425
8600000US01258,01258,ZCTA5 01258,45881,12662
8600000US01259,01259,ZCTA5 01259,56822,11036
8600000US01260,01260,ZCTA5 01260,26842,6098
8600000US01262,01262,ZCTA5 01262,38899,8511
8600000US01264,01264,ZCTA5 01264,45563,16630
8600000US01266,01266,ZCTA5 01266,46857,5789
8600000US01267,01267,ZCTA5 01267,30864,2612
8600000US01270,01270,ZCTA5 01270,38157,3534
8600000US01301,01301,ZCTA5 01301,28633,1873
8600000US01330,01330,ZCTA5 01330,40071,4090
8600000US01331,01331,ZCTA5 01331,25349,1666
8600000US01337,01337,ZCTA5 01337,33697,2384
8600000US01338,01338,ZCTA5 01338,25680,4300
8600000US01339,01339,ZCTA5 01339,31610,4296
8600000US01340,01340,ZCTA5 01340,29598,3932
8600000US01341,01341,ZCTA5 01341,44806,4537
8600000US01342,01342,ZCTA5 01342,46922,9751
8600000US01343,01343,ZCTA5 01343,40280,9558
